,college,program_name,course_title,program_category,course_description,city,state,zip_code,country,residential,application,transcript,letter_of_recommendation,counselor_report,test_scores,toefl_or_english_exam,app_fee,app_date,enrollment_fee,fees,credit_offerred,tuition,start_date,end_date,eligibility_requirements,grades,link
0,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  Advanced Java Programming
",,"Continue mastering the Java programming language by exploring its intermediate and advanced features, such as inheritance, interfaces, abstract classes, abstract methods, and polymorphism. You’ll learn how to write and read Java primitive types and object classes to and from files, how to serialize objects, and how to implement simple graphical user interfaces. You’ll use comprehensive error handling and complex algorithms in your programming projects, and investigate real-world applications of the Java programming language. As you progress through the course you’ll complete a portfolio of programming assignments including a mid-term and final project, and test your knowledge with a comprehensive final examination. ",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,no,919 - 955,,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of Intro to Java or equivalent. Recommended placement test.",9-12,https://cty.jhu.edu//programs/online/courses/advanced-java-programming-aja
1,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  Advanced Web Design
",,"This course will help you take your web design skills to the next level. You’ll learn how to use the updated features in HTML5 and CSS3 to create flexible and modern websites, style them with new CSS techniques, optimize them for mobile platforms, use external libraries, and create animated elements. You’ll learn best practices for search engine optimization (SEO), browser validation, and accessible design, and apply the advanced techniques you’ve learned in the course to various assignments. By the end of the course, you will have developed a fully functional website! This course also includes a comprehensive final exam.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,no,919 - 955,,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Students must have completed Introduction to Web Design or taken a placement test to enroll in this course",9-12,https://cty.jhu.edu//programs/online/courses/advanced-web-design-wd2
2,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  Aeronautical Engineering
",,"How do aircraft fly? Why might a fighter jet use delta wings while a commercial jet has swept wings? Examine elements of aeronautical engineering—including how aircraft produce lift, propulsion, and thrust—as you learn how to calculate lift and drag coefficients, aspect ratio, and center of gravity.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,no,,,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Algebra I. Students in this class should have a strong background in physics or have completed CTY Summer Programs’ The Physics of Engineering.",9-12,https://cty.jhu.edu//programs/online/courses/aeronautical-engineering-aero
3,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Biology (Intensive, NCAA Approved)
",,"Advance your understanding of high school biology concepts as you cover topics typically found in a first-year university biology course. This course includes a laboratory component designed to meet College Board® standards and provides a solid foundation for the AP Biology exam, which you’ll prepare for using online lectures, readings, laboratory exercises, homework assignments, and exams that mirror the AP format. Major themes include biochemistry, energy transfer, cellular structure and specialization, mitosis and meiosis, genetics, and ecology, among others. ",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,,,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of Algebra I ",9-12,https://cty.jhu.edu//programs/online/courses/ap-biology-intensive--ncaa-approved-ipbi
4,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Biology (NCAA Approved)
",,"Advance your understanding of high school biology concepts as you cover topics typically found in a first-year university biology course. This course includes a laboratory component designed to meet College Board® standards and provides a solid foundation for the AP Biology exam, which you’ll prepare for using online lectures, readings, laboratory exercises, homework assignments, and exams that mirror the AP format. Major themes include biochemistry, energy transfer, cellular structure and specialization, mitosis and meiosis, genetics, and ecology, among others. This course does not have any synchronous class meetings, but you can schedule one-on-one virtual meetings directly with your instructor to answer questions.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,"1,810",,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of Algebra I",9-12,https://cty.jhu.edu//programs/online/courses/ap-biology-ncaa-approved-apbi
5,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Calculus AB (NCAA Approved)
",,"Prepare for the AP Calculus AB exam with this college-level course that covers topics in single-variable differential and integral calculus. You’ll engage with your instructor and classmates in synchronous virtual meetings and forum discussions, in addition to learning from the electronic textbook, engaging videos, interactive lessons, and other online course materials. You can also schedule one-on-one review sessions with your instructor. Along the way, you’ll complete challenging homework assignments, free-response questions, quizzes, projects, discussion forums, and cumulative exams as you move through this comprehensive course. You’ll solve problems by hand and with technology and will be expected to compose clearly written solutions for both applied and abstract problems involving limits, derivatives, and integrals.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,"2,065",,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of Precalculus or equivalent",9-12,https://cty.jhu.edu//programs/online/courses/ap-calculus-ab-ncaa-approved-caby
6,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Calculus BC
",,"Set yourself up for success on the AP Calculus BC exam in this intensive, college-level course that covers topics in single-variable differential and integral calculus. Through engagement with the electronic textbook, interactive lessons, and your CTY instructor, you’ll learn how to solve both applied and abstract problems involving limits, derivatives, and integrals by hand as well as by using technology. Along the way, your instructor will be available for learning support and one-on-one review sessions for graded assessments, which include homework assignments, free-response questions, projects, quizzes, discussion forums, and cumulative exams based on the actual AP Calculus exams.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,no,1399 - 1455,,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of Precalculus or equivalent",9-12,https://cty.jhu.edu//programs/online/courses/ap-calculus-bc-cbc
7,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Calculus BC (NCAA Approved)
",,"Set yourself up for success on the AP Calculus BC exam in this intensive, college-level course that covers topics in single-variable differential and integral calculus. Through engagement with the electronic textbook, interactive lessons, and your CTY instructor, you’ll learn how to solve both applied and abstract problems involving limits, derivatives, and integrals by hand as well as by using technology. You’ll also participate in class forums and synchronous virtual meetings. Along the way, your instructor will be available for learning support and one-on-one review sessions for graded assessments, which include homework assignments, free-response questions, projects, quizzes, discussion forums, and cumulative exams based on the actual AP Calculus exams.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,"2,065",,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of Precalculus or equivalent",9-12,https://cty.jhu.edu//programs/online/courses/ap-calculus-bc-ncaa-approved-cbcy
8,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Calculus AB
",,"Prepare for the AP Calculus AB exam with this college-level course that covers topics in single-variable differential and integral calculus. You’ll learn from your instructor, as well as from an engaging electronic textbook, videos, interactive lessons, and other online course materials. Along the way, you’ll complete challenging homework assignments, free-response questions, quizzes, projects, and cumulative exams, and participate in discussion forums as you move through this comprehensive course. You’ll solve problems by hand and with technology and will be expected to compose clear solutions for applied and abstract problems involving limits, derivatives, and integrals. As you progress through the course at your own pace, your instructor will be available for learning support and one-on-one review sessions.",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,no,1399 - 1455,,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of Precalculus or equivalent",9-12,https://cty.jhu.edu//programs/online/courses/ap-calculus%C2%A0ab-cab
9,Johns Hopkins University,Johns Hopkins Center for Talented Youth,"
  AP® Chemistry (Intensive, NCAA Approved)
",,"Cover topics typically found in a first-year introductory college chemistry course and advance your understanding of high school chemistry concepts as you prepare for the AP Chemistry exam. This course includes a laboratory component designed to meet College Board® standards and provides a solid foundation for the AP Chemistry exam, which you’ll prepare for using online lectures, readings, laboratory exercises, problem sets, and exams that mirror the AP format. ",remote,remote,,United States,no,yes,no,no,no,yes,no,15,,0,20,college,,,,"Students must achieve qualifying scores on an advanced assessment to be eligible for CTY programs. If you don’t have qualifying scores, you have several different testing options. We’ll help you find the right option for your situation. Successful completion of Algebra I",9-12,https://cty.jhu.edu//programs/online/courses/ap-chemistry-intensive--ncaa-approved-ipch
